seller_index,title,description,part_category,make,model,generation,year_from,year_to,fuel_type,engine_size,side,position,oem_number,condition,condition_notes,price,image_url,donor_year,compatible_vehicles,safety_warnings,trust_score,listing_score
0,Ford Fiesta Mk7 Left Headlight Assembly 2013-2017,"Used left-side headlight assembly removed from a 2015 Ford Fiesta Mk7. Lens intact, tabs present, tested before removal.",headlight,Ford,Fiesta,Mk7,2013,2017,Any,Any,left,front,8A61-13W030,Good,"Minor surface marks only.",45,https://commons.wikimedia.org/wiki/Special:FilePath/Ford_Fiesta_MK6_144349.jpg?width=640,2015,Ford Fiesta 2013-2017,Confirm connector type before purchase|Check facelift/non-facelift variant,0.84,0.82
0,Ford Fiesta Mk7 Right Tail Light 2013-2017,"Right rear light unit for Fiesta Mk7 facelift. Clean lens and complete bulb holder.",rear light,Ford,Fiesta,Mk7,2013,2017,Any,Any,right,rear,8A61-13404,Good,"Small storage mark on outer edge.",32,https://commons.wikimedia.org/wiki/Special:FilePath/Automobile_tail_light.jpg?width=640,2016,Ford Fiesta 2013-2017,Confirm body style before purchase,0.82,0.78
1,Ford Focus Mk3 Front Bumper 2011-2014,"Used front bumper from a 2013 Ford Focus Mk3. No cracks. All mounting tabs intact. Needs paint.",bumper,Ford,Focus,Mk3,2011,2014,Any,Any,front,front,,Fair,"Scuff on lower lip. Will need respray.",30,https://commons.wikimedia.org/wiki/Special:FilePath/Front_bumper_oldtimer_car.jpg?width=640,2013,Ford Focus 2011-2014,,0.62,0.70
1,Ford Focus Mk3 Bonnet 2011-2018,"Straight bonnet removed from a Focus Mk3 hatchback. Hinges not included.",bonnet,Ford,Focus,Mk3,2011,2018,Any,Any,,front,BM51-A16610,Good,"Stone chips to leading edge.",75,https://commons.wikimedia.org/wiki/Special:FilePath/Car_hood_open.jpg?width=640,2014,Ford Focus 2011-2018,Paint colour must be matched,0.68,0.72
0,VW Golf Mk7 GTI Front Left Brake Caliper 2013-2019,"Used front left brake caliper removed from a 2017 VW Golf Mk7 GTI 2.0 TSI. Piston moves freely.",caliper,Volkswagen,Golf,Mk7,2013,2019,Any,Any,left,front,1K0615423N,Good,"Light surface rust on bracket only.",55,https://commons.wikimedia.org/wiki/Special:FilePath/Brake_calipers.jpg?width=640,2017,VW Golf Mk6 2008-2012|VW Golf Mk7 2013-2019|Audi A3 8V 2012-2020|Seat Leon Mk3 2012-2020,Safety-critical part - professional inspection required before fitting,0.86,0.88
0,VW Golf Mk7 Rear Brake Disc Pair 2013-2019,"Pair of rear brake discs removed from a Golf Mk7. Usable demo listing for search and trust checks.",brake disc,Volkswagen,Golf,Mk7,2013,2019,Any,Any,,rear,5Q0615601,Used,"Visible wear lip. Demo only.",22,https://commons.wikimedia.org/wiki/Special:FilePath/Disc_brake_dsc03682.jpg?width=640,2016,VW Golf Mk7 2013-2019,Safety-critical part - measure thickness before fitting,0.58,0.61
1,Volkswagen Polo 6R Left Wing Mirror 2009-2017,"Electric left wing mirror for VW Polo 6R. Black cap, plug included.",wing mirror,Volkswagen,Polo,6R,2009,2017,Any,Any,left,front,6R1857507,Good,"Cap has light scratches.",38,https://commons.wikimedia.org/wiki/Special:FilePath/Car_side_mirror.jpg?width=640,2014,Volkswagen Polo 2009-2017,Confirm plug pin count,0.75,0.76
1,Vauxhall Corsa D Alternator 1.2 Petrol 2006-2014,"Used alternator removed from a 1.2 petrol Corsa D. Bench tested charging output.",alternator,Vauxhall,Corsa,D,2006,2014,Petrol,1.2L,,front,13222933,Good,"Pulley spins freely.",48,https://commons.wikimedia.org/wiki/Special:FilePath/Alternator_01.JPG?width=640,2011,Vauxhall Corsa 2006-2014,Match amperage rating before purchase,0.74,0.73
0,Vauxhall Astra J Radiator 2009-2015,"Cooling radiator for Astra J. Removed from 1.6 petrol manual car.",radiator,Vauxhall,Astra,J,2009,2015,Petrol,1.6L,,front,13241773,Good,"No visible leaks during pressure test.",42,https://commons.wikimedia.org/wiki/Special:FilePath/Car_radiator.jpg?width=640,2012,Vauxhall Astra 2009-2015,Confirm manual/automatic fitment,0.77,0.75
1,BMW 3 Series F30 Front Bumper 2012-2018,"Front bumper cover for BMW 3 Series F30. Parking sensor holes present.",bumper,BMW,3 Series,F30,2012,2018,Any,Any,front,front,51117292995,Fair,"Needs paint and lower grille.",120,"https://commons.wikimedia.org/wiki/Special:FilePath/BMW_320d_Sport_Line_(F30)_%E2%80%93_Frontansicht,_3._M%C3%A4rz_2012,_D%C3%BCsseldorf.jpg?width=640",2016,BMW 3 Series 2012-2018,Check M Sport vs SE bumper type,0.72,0.78
